Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1900,310,0190,Nebraska,Buffalo,35,190,2526269530.9146485,310,0190,Nebraska,Buffalo,35,190,2526269530.9146514,1.0,1
1900,310,0350,Nebraska,Clay,35,350,1485456566.2013545,310,0350,Nebraska,Clay,35,350,1485456566.2012906,1.0,1
1900,310,0790,Nebraska,Hall,35,790,1430058556.6270156,310,0790,Nebraska,Hall,35,790,1430058556.6269593,1.0,1
1900,310,0810,Nebraska,Hamilton,35,810,1416777226.2137969,310,0810,Nebraska,Hamilton,35,810,1416777226.21373,1.0,1
1900,310,0990,Nebraska,Kearney,35,990,1337342671.4258528,310,0990,Nebraska,Kearney,35,990,1337342671.4258552,1.0,1
1900,310,1810,Nebraska,Webster,35,1810,1489360585.9238145,310,1810,Nebraska,Webster,35,1810,1489360585.9237492,1.0,1
1900,390,0010,Ohio,Adams,24,10,1517179259.8313107,390,0010,Ohio,Adams,24,10,1517179259.8268027,1.0,1
1900,390,0150,Ohio,Brown,24,150,1276764951.7642694,390,0150,Ohio,Brown,24,150,1276764951.7642708,1.0,1
1900,390,0710,Ohio,Highland,24,710,1444675520.7694385,390,0710,Ohio,Highland,24,710,1444675520.7492156,1.0,1
1900,210,1350,Kentucky,Lewis,51,1350,1283824207.3208616,210,1350,Kentucky,Lewis,51,1350,1283824207.3208594,1.0,1
1900,210,1610,Kentucky,Mason,51,1610,638761159.1246262,210,1610,Kentucky,Mason,51,1610,638761159.124627,1.0,1
1900,390,1310,Ohio,Pike,24,1310,1149862522.6531067,390,1310,Ohio,Pike,24,1310,1149862522.6530542,1.0,1
1900,390,1450,Ohio,Scioto,24,1450,1595626079.2977,390,1450,Ohio,Scioto,24,1450,1595626079.2976987,1.0,1
1900,420,0010,Pennsylvania,Adams,14,10,1351371691.5485697,420,0010,Pennsylvania,Adams,14,10,1351371691.5485754,1.0,1
